"Date","Open","High","Low","Close","Volume"
"03/15/2021","128.6475","135.125","126.125","128.4575","133,190,928"
"03/08/2021","124.5","130.4625","115.665","128.56","199,319,200"
"03/01/2021","138.75","139.25","116.7925","124.615","211,107,140"
"02/22/2021","147.7475","151.3325","132.1625","137.145","249,135,048"
"02/15/2021","150.6425","153.725","145.75","149.265","110,346,312"
"02/08/2021","137.2722","152.9114","137.2722","149.6125","203,312,040"
"02/01/2021","130.5335","139.3175","129.0275","135.91","105,354,400"
"01/25/2021","137.8175","138.285","127.9375","129.8975","128,623,240"
"01/18/2021","130.1625","139.9936","128.44","137.125","106,991,592"
"01/11/2021","134.1875","139.61","128.485","128.595","158,143,652"
"01/04/2021","131.0425","136.525","125.86","132.7675","221,783,532"
"12/28/2020","130.625","132.1375","127.6317","130.55","80,075,936"
"12/21/2020","130.7475","133.7","129.3875","129.9375","76,567,332"
"12/14/2020","130.8787","134.64","130.705","132.72","126,020,700"
"12/07/2020","136.0125","137.3125","128.23","130.1325","131,349,568"
"11/30/2020","132.65","136.7344","129.7235","135.5825","126,964,852"
"11/23/2020","131.7113","134.075","128.85","132.6125","113,504,576"
"11/16/2020","131.725","136.495","130.65","130.8775","214,375,216"
"11/09/2020","145.525","146.915","126.2825","132.97","234,518,612"
"11/02/2020","126.5775","145.8875","123.95","145.62","168,516,052"
"10/26/2020","134.27","136.9279","123","125.34","170,140,992"
"10/19/2020","139.0288","139.835","132.3175","135.9025","127,084,164"
"10/12/2020","139.895","143.485","137.6775","138.115","156,585,896"
"10/05/2020","132.36","141.42","132.2277","137.6275","240,811,540"
"09/28/2020","130.4025","137.6274","127.5","130.6225","296,349,640"
"09/21/2020","119.25","128.835","119.045","128.7375","333,376,360"
"09/14/2020","130.81","133.15","119.8875","121.8925","397,787,440"
"09/07/2020","117.345","130.6525","117.0425","121.645","286,753,920"
"08/31/2020","131.8278","147.2675","117.0475","126.225","429,613,680"
"08/24/2020","128.8375","131.48","125.075","131.4775","195,564,544"
"08/17/2020","118.5125","128.087","118.1719","126.835","366,862,560"
"08/10/2020","113.3425","117.2175","107.9575","115.64","198,814,504"
"08/03/2020","107.325","115.0475","107.1525","111.995","156,068,536"
"07/27/2020","102.3225","107.665","102.0925","106.1475","154,344,008"
"07/20/2020","102.7425","106.025","97.77","101.945","181,476,172"
"07/13/2020","105.95","107.9225","97.855","102.015","201,498,336"
"07/06/2020","97.4175","106.5525","97.125","104.7925","203,139,596"
"06/29/2020","91.6975","97.375","89","96.1225","140,084,100"
"06/22/2020","93","96.425","91.25","91.55","219,110,228"
"06/15/2020","88.1525","94.45","87.4375","92.6125","212,259,272"
"06/08/2020","88.7725","95","86.8575","89.325","264,296,604"
"06/01/2020","88.3325","89.97","86.58","89.2","205,329,484"
"05/25/2020","91.5675","91.8175","79.9675","88.755","342,871,920"
"05/18/2020","87.605","90.93","86.805","90.2625","388,109,680"
"05/11/2020","78.075","85.005","75.9475","84.9075","317,794,320"
"05/04/2020","70.22","78.1875","70.22","78.125","172,355,404"
"04/27/2020","73.7475","76.05","70.2108","70.695","201,946,940"
"04/20/2020","71.81","73.375","66.7775","72.3975","244,608,268"
"04/13/2020","65.1375","74.75","64.25","73.08","258,024,532"
"04/06/2020","63.81","69.5625","63.2325","65.7375","258,109,680"
"03/30/2020","63.84","68.85","59.5975","60.9775","354,810,200"
"03/23/2020","51.4275","65.7794","49.63","63.1825","387,536,680"
"03/16/2020","53.1025","57.58","45.1702","51.4375","400,501,840"
"03/09/2020","59.975","65.27","53.95","60.21","314,825,400"
"03/02/2020","69.225","71.2225","64.5","66.51","319,668,600"
"02/24/2020","67.5475","70.4681","60.4475","67.5175","470,316,400"
"02/17/2020","71.411","79.08","71.215","73.5175","289,555,600"
"02/10/2020","63.125","73.7425","63.075","72.4475","311,274,792"
"02/03/2020","58.925","63.5625","58.8625","62.8975","114,372,600"
"01/27/2020","59.56","62.3175","58.0575","59.1075","170,188,452"
"01/20/2020","61.9513","64.875","61.6426","62.62","107,518,368"
"01/13/2020","61.915","63.2471","61.1325","62.32","148,100,500"
"01/06/2020","58.08","62.1375","57.8175","61.08","143,126,344"
"12/30/2019","58.9975","59.9775","57.5325","59.0175","93,290,952"
"12/23/2019","60.13","60.4525","58.9525","59.2175","93,228,456"
"12/16/2019","56.475","60.0975","56.1925","59.8425","204,534,124"
"12/09/2019","52.8125","57.245","52.725","55.9975","156,688,220"
"12/02/2019","54.115","54.25","50.0925","53.0425","153,919,008"
"11/25/2019","54.01","55.3525","53.88","54.185","125,101,420"
"11/18/2019","50.9725","53.6375","50.9425","52.7225","197,620,440"
"11/11/2019","51.9375","52.965","50.1594","51.0475","241,121,644"
"11/04/2019","51.4625","52.925","51.0275","51.945","141,634,548"
"10/28/2019","51.575","52.225","49.4525","50.6475","124,136,080"
